Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
24552,5fe8,"SC FD EMRG","D","St. Cloud Fire Emergency","Fire-Tac","Stearns County - St. Cloud"
24554,5fea,"SC PD EMEG","D","Saint Cloud Police Emergency","Law Tac","Stearns County - St. Cloud"
24600,6018,"ST SO 1","D","Sheriff 1 Main (SCSD 1)","Law Dispatch","Stearns County"
24602,601a,"ST 3","D","ST-3","Multi-Tac","Stearns County"
24604,601c,"ST 4","D","ST-4","Multi-Tac","Stearns County"
24606,601e,"ST SO SPVR","DE","Sheriff Supervisors","Law Tac","Stearns County"
24608,6020,"ST SO SERT","DE","Stearns County SERT","Law Tac","Stearns County"
24610,6022,"ST SO TAC","DE","Sheriffs Office Tactical","Law Tac","Stearns County"
24612,6024,"ST ROAM","D","County Roam","Multi-Dispatch","Stearns County"
24614,6026,"SK CTR EMS","D","Sauk Centre EMS","EMS-Tac","Stearns County"
24616,6028,"MELROSE EMS","D","Melrose EMS Admin","EMS-Tac","Stearns County"
24618,602a,"EMS ADMIN","D","EMS Admin","EMS-Tac","Stearns County"
24620,602c,"EMSCC Paynesvill","D","CentraCare EMS Dispatch - Paynesville","EMS Dispatch","CentraCare EMS"
24622,602e,"EMS ADMIN","D","EMS Admin","EMS-Tac","Stearns County"
24626,6032,"SCMAC","D","St. Cloud Metropolitan Athletics Complex","Schools","Stearns County - St. Cloud"
24628,6034,"CM DG TASK","D","Central Minnesota Drug and Gang Task Force","Law Tac","Stearns County"
24630,6036,"VA EMS SEC","D","St. Cloud VAMC EMS - Security Patch","Security","Stearns County - St. Cloud"
24632,6038,"STCLD ANOUNC","D","Saint Cloud Announce Group","Multi-Dispatch","Stearns County - St. Cloud"
24634,603a,"CM EM AD","D","Central MN Emergency Management Admin.","Emergency Ops","Zone 4 Interoperability Central"
24636,603c,"SCSU SEC","D","St Cloud State University Security","Security","Stearns County - St. Cloud"
24640,6040,"ST SO 2","D","Local Police Dispatch (SCSD 2)","Law Dispatch","Stearns County"
24642,6042,"ST 5","D","ST-5","Multi-Tac","Stearns County"
24646,6046,"ST RICH FA","D","Richmond Fire Dept Adm","Fire-Tac","Stearns County"
24656,6050,"ROCKVL FIRE","D","Rockville Fire Dept","Fire-Tac","Stearns County"
24664,6058,"PNSV FIRE","D","Paynesville Fire Dept","Fire-Tac","Stearns County"
24672,6060,"PNSV PD ADM ","D","Paynesville PD Admin","Law Tac","Stearns County"
24674,6062,"MELROSE FD","D","Melrose Fire Dept","Fire-Tac","Stearns County"
24682,606a,"MELROSE PD","D","Melrose PD Admin","Law Tac","Stearns County"
24688,6070,"KMBL FIRE","D","Kimball Fire Ops","Fire-Tac","Stearns County"
24704,6080,"ColdSprFDAdm","D","Cold Spring Fire Administration","Fire-Tac","Stearns County"
24712,6088,"COLD SPR PD","D","Cold Spring PD","Law Tac","Stearns County"
24714,608a,"SK CTR FIRE","D","Sauk Centre Fire","Fire-Tac","Stearns County"
24716,608c,"SAUK CTR GVT","D","Sauk Centre Govt","EMS Dispatch","Stearns County"
24722,6092,"SAUK CTR PD","D","Sauk Center PD","Law Tac","Stearns County"
24724,6094,"BRTN FIRE","D","Brooten Fire","Fire-Tac","Stearns County"
24732,609c,"ChainOfLakes FD","D","Chain of Lakes Fire","Fire Dispatch","Stearns County"
24734,609e,"BELGRAD FIRE","D","Belgrade Fire Dept","Fire-Tac","Stearns County"
24740,60a4,"ST 13","D","ST-13","Multi-Tac","Stearns County"
24744,60a8,"ALBNY FD","D","Albany Fire Dept","Fire-Tac","Stearns County"
