Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2,002,"SW IA MA 1","D","Interagency Mutual Aid 1","Interop","Statewide Interoperability "
3,003,"STATE TAC","D","Statewide Tac","Multi-Tac","Statewide Interoperability "
4,004,"SYSTECH 4","DE","System Technicians 4","Public Works","Minnesota Department of Public Safety - Emergency Communications"
6,006,"STAC 1","D","Statewide Tactical 1","Interop","Statewide Interoperability "
7,007,"SITE TRUNK","D","Site Trunking Talkgroup","Multi-Tac","Statewide Interoperability "
8,008,"STAC 2","D","Statewide Tactical 2","Interop","Statewide Interoperability "
9,009,"NWS CHANHSN","D","NWS Chanhassen","Emergency Ops","National Weather Service"
11,00b,"STAC14E","DE","Statewide Tactical 14","Interop","Statewide Interoperability "
12,00c,"DEPT ADM","D","Dept. Of Administration","Public Works","Minnesota Misc. State Agencies"
13,00d,"STAC13E","DE","Statewide Tactical 13","Interop","Statewide Interoperability "
22,016,"ME TAC 5","D","Metro Tactical 5","Interop","Zone 1 Interoperability Metro"
24,018,"ME TAC 6","D","Metro Tactical 6","Interop","Zone 1 Interoperability Metro"
26,01a,"ME TAC 7","D","Metro Tactical 7","Interop","Zone 1 Interoperability Metro"
28,01c,"ME TAC 8","D","Metro Tactical 8","Interop","Zone 1 Interoperability Metro"
30,01e,"ST FIRE TAC","D","State Fire Tac","Interop","Statewide Interoperability "
32,020,"ME TAC 1","D","Metro Tactical 1","Interop","Zone 1 Interoperability Metro"
34,022,"ME TAC 2","D","Metro Tactical 2","Interop","Zone 1 Interoperability Metro"
36,024,"ME TAC 3","D","Metro Tactical 3","Interop","Zone 1 Interoperability Metro"
38,026,"ME TAC 4","D","Metro Tactical 4","Interop","Zone 1 Interoperability Metro"
39,027,"EMSAIRCOM","D","Helicopter Communication Centers Common","Interop","Statewide Interoperability "
40,028,"SYSTECH 40","DE","System Technicians 40","Public Works","Minnesota Department of Public Safety - Emergency Communications"
44,02c,"STWD COML","D","Statewide Communications Leader","Emergency Ops","Minnesota Department of Public Safety - Emergency Communications"
46,02e,"SEMTAC","D","Statewide Emergency Management Talkgroup","Emergency Ops","Statewide Interoperability "
48,030,"METCOM","D","Metcom","Interop","Zone 1 Interoperability Metro"
50,032,"MSP 2500 ALL","D","West Metro Emergency All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
52,034,"MSP 2400 ALL","D","East Metro Emergency All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
54,036,"MSP 2500 DSP","D","West Metro "2500" Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
55,037,"MSP 2500 RM","D","West Metro "2500" Roaming","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
56,038,"MSP 2500 T 3","DE","West Metro "2500" Tac 3","Law Tac","Minnesota Department of Public Safety - State Patrol"
58,03a,"MSP 2500 T 1","D","West Metro "2500" Tac 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
60,03c,"MSP 2500 T 2","D","West Metro "2500" Tac 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
62,03e,"MSP 2510","D","West Metro 2510 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
64,040,"MSP 2520","D","West Metro 2520 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
66,042,"MSP 2540","D","West Metro 2540 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
68,044,"MSP 4550","D","Metro 4550 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
70,046,"MSP 4560","D","Metro 4560 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
72,048,"MSP 4570","D","West Metro 4580 Beat","Law Talk","Minnesota Department of Public Safety - State Patrol"
73,049,"MSP 4580","D","Metro 4570 Station 2","Law Talk","Minnesota Department of Public Safety - State Patrol"
74,04a,"MSP 2400 DSP","D","East Metro "2400" Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
75,04b,"MSP 2400 RM","D","East Metro "2400" Roaming","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
76,04c,"MSP 2400 T 3","D","East Metro "2400" Tac 3","Law Tac","Minnesota Department of Public Safety - State Patrol"
78,04e,"MSP 2400 T 1","D","East Metro "2400" Tac 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
80,050,"MSP 2400 T 2","D","East Metro "2400" Tac 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
82,052,"MSP 2410","D","East Metro 2410 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
84,054,"MSP 2430","D","East Metro 2430 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
86,056,"MSP 2440","D","East Metro 2440 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
88,058,"MSP 4450","D","Metro 4450 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
90,05a,"MSP 4460","D","Metro 4460 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
91,05b,"MSP 4470","D","Metro 4470 Station - Nights","Law Talk","Minnesota Department of Public Safety - State Patrol"
92,05c,"MSP 4730","D","Metro Commercial Vehicle Inspection","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
93,05d,"DEPT ADM TEC","D","Dept. Of Administration - Technicians","Public Works","Minnesota Misc. State Agencies"
94,05e,"MSP 2000 SUP","D","Supervisors","Law Talk","Minnesota Department of Public Safety - State Patrol"
96,060,"MSP 5000 AIR","D","Flight Section","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
98,062,"CAP SEC MAIN","D","Capitol Security Main","Law Dispatch","Minnesota Department of Public Safety - Capitol Security"
100,064,"CAP SEC PROTECT","D","Governor's Protection Force","Law Tac","Minnesota Department of Public Safety - Capitol Security"
102,066,"CAP SEC C2C","D","Capitol Security Car-to-Car","Law Tac","Minnesota Department of Public Safety - Capitol Security"
104,068,"BCA ALL","D","All Call Multigroup","Law Dispatch","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
106,06a,"BCA MAIN","D","Main","Law Dispatch","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
108,06c,"BCA TAC1","D","Tactical 1","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
110,06e,"BCA TAC2","D","Tactical 2","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
112,070,"BCA TAC3","DE","Tactical 3","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
114,072,"BCA TAC4","DE","Tactical 4","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
116,074,"BCA TAC5","D","Tactical 5","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
118,076,"BCA TAC6","D","Tactical 6","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
120,078,"BCA TAC7","DE","Tactical 7","Law Tac","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
122,07a,"AGE TAC 1","DE","Alcohol & Gambling Enforcement Tactical 1","Law Tac","Minnesota Misc. State Agencies"
124,07c,"AGE TAC 2","DE","Alcohol & Gambling Enforcement Tactical 2","Law Tac","Minnesota Misc. State Agencies"
126,07e,"FIRE MAR M","DE","State Fire Marshal Main","Fire-Tac","Minnesota Department of Public Safety - State Fire Marshall"
128,080,"FIRE MAR T 1","DE","State Fire Marshal Tactical 1","Fire-Tac","Minnesota Department of Public Safety - State Fire Marshall"
130,082,"FIRE MAR T 2","DE","State Fire Marshal Tactical 2","Fire-Tac","Minnesota Department of Public Safety - State Fire Marshall"
132,084,"MNH-MAIN","DE","MN HAZMAT Main","Emergency Ops","Minnesota Department of Public Safety - State Fire Marshall"
134,086,"MNH-TAC1","DE","MN HAZMAT Tactical 1","Emergency Ops","Minnesota Department of Public Safety - State Fire Marshall"
136,088,"MNH-TAC2","DE","MN HAZMAT Tactical 2","Emergency Ops","Minnesota Department of Public Safety - State Fire Marshall"
137,089,"DPS SEC","D","Department of Public Safety Headquarters Security","Security","Minnesota Department of Public Safety - Capitol Security"
138,08a,"DNR ENF ALL","D","Enforcement All Call","Law Tac","Minnesota Department of Natural Resources - DNR"
140,08c,"DNR ENF COM","D","Enforcement Common","Law Tac","Minnesota Department of Natural Resources - DNR"
142,08e,"DNR WIDE MET","D","Metro Wide Field Group","Law Tac","Minnesota Department of Natural Resources - DNR"
144,090,"DNR D16W MET","D","West Side Group Metro","Law Tac","Minnesota Department of Natural Resources - DNR"
146,092,"DNR D17E MET","D","East Side Group Metro","Law Tac","Minnesota Department of Natural Resources - DNR"
148,094,"DNR TAC1 MET","D","Enforcement Tactical 1 Metro","Law Talk","Minnesota Department of Natural Resources - DNR"
150,096,"DNR TAC2 MET","D","Enforcement Tactical 2 Metro","Law Talk","Minnesota Department of Natural Resources - DNR"
152,098,"DNR TAC3 MET","D","Enforcement Tactical 3 Metro","Law Talk","Minnesota Department of Natural Resources - DNR"
154,09a,"DNR SUPD MET","D","Enforcement Administration Metro","Law Talk","Minnesota Department of Natural Resources - DNR"
156,09c,"DNR PARK MET","D","Metro Parks ","Public Works","Minnesota Department of Natural Resources - DNR"
158,09e,"DNR WDLF MET","D","Metro Wildlife ","Fire-Tac","Minnesota Department of Natural Resources - DNR"
160,0a0,"DNR FOR STW","D","DNR Forestry Statewide","Fire-Tac","Minnesota Department of Natural Resources - DNR"
166,0a6,"DOC 166","D","DOC 166","Corrections","Minnesota Department of Corrections"
168,0a8,"DOC STW","D","MCF Stillwater","Corrections","Minnesota Department of Corrections"
170,0aa,"DOC INVEST 1","D","Office of Special Investigations 1","Corrections","Minnesota Department of Corrections"
172,0ac,"DOC INVEST 2","De","Office of Special Investigations 2","Corrections","Minnesota Department of Corrections"
174,0ae,"DOC TR 1","D","Transportation Unit 1 Main","Corrections","Minnesota Department of Corrections"
176,0b0,"DOC TR 2","D","Transportation Unit 2 Security","Corrections","Minnesota Department of Corrections"
178,0b2,"DOC LL OP1","D","MCF Lino Lakes Main Operations","Corrections","Minnesota Department of Corrections"
180,0b4,"DOC LL OP2","D","MCF Lino Lakes Local Maintenance","Corrections","Minnesota Department of Corrections"
182,0b6,"DOC STW OP1","D","MCF Stillwater Main Operations","Corrections","Minnesota Department of Corrections"
184,0b8,"DOC STW OP2","D","MCF Stillwater Local Maintenance","Corrections","Minnesota Department of Corrections"
185,0b9,"MCF Lino 185","D","MCF Lino Lakes 185","Corrections","Minnesota Department of Corrections"
186,0ba,"DOC OPH OP1","D","MCF Oak Park Heights Main Operations","Corrections","Minnesota Department of Corrections"
188,0bc,"DOC OPH OP2","D","MCF Oak Park Heights Local Maintenance","Corrections","Minnesota Department of Corrections"
190,0be,"DOC SHK OP1","D","MCF Shakopee Main Operations","Corrections","Minnesota Department of Corrections"
192,0c0,"DOC SHK OP2","D","MCF Shakopee Local Maintenance","Corrections","Minnesota Department of Corrections"
194,0c2,"DOC RW OP1","D","MCF Red Wing Main Operations","Corrections","Minnesota Department of Corrections"
195,0c3,"DOC RW ICS","D","MCF Red Wing Incident Command (ICS)","Corrections","Minnesota Department of Corrections"
196,0c4,"DOC RW OP2","D","MCF Red Wing Local Maintenance","Corrections","Minnesota Department of Corrections"
198,0c6,"DOC RC OP1","D","MCF Rush City Main Operations","Corrections","Minnesota Department of Corrections"
200,0c8,"DOC RC OP2","D","MCF Rush City Local Maintenance","Corrections","Minnesota Department of Corrections"
202,0ca,"REVENUE M","D","Department of Revenue Main","Law Tac","Minnesota Misc. State Agencies"
204,0cc,"CAP SEC ALL","D","Capitol Security All Call","Law Dispatch","Minnesota Department of Public Safety - Capitol Security"
207,0cf,"DOC LL ICS","D","MCF Stillwater Incident Command (ICS)","Corrections","Minnesota Department of Corrections"
208,0d0,"DOT 1 CMO","D","Central Management Office","Public Works","Minnesota DOT District 5 Metro"
210,0d2,"OEC DEMO 1","D","OEC Demo 1","Public Works","Minnesota DOT District 5 Metro"
212,0d4,"OEC DEMO 2","D","OEC Demo 2","Public Works","Minnesota DOT District 5 Metro"
215,0d7,"MCF Lino 215","D","MCF Lino Lakes 215","Corrections","Minnesota Department of Corrections"
217,0d9,"MCF Lino 217","D","MCF Lino Lakes 217","Corrections","Minnesota Department of Corrections"
219,0db,"MCF Lino 219","D","MCF Lino Lakes 219","Corrections","Minnesota Department of Corrections"
222,0de,"DOT OEC2 ADM","D","OEC Admin 2","Public Works","Minnesota DOT District 5 Metro"
223,0df,"MCF RC MNT","D","MCF Rush City Maintenance","Corrections","Minnesota Department of Corrections"
224,0e0,"DOT OEC3 SHOP","D","OEC 3 Shop","Public Works","Minnesota DOT District 5 Metro"
225,0e1,"MCF Rush ICS","D","MCF Rush City Incident Command (ICS)","Corrections","Minnesota Department of Corrections"
226,0e2,"DOT OEC4 OFC","D","OEC 4 Office Admin","Public Works","Minnesota DOT District 5 Metro"
227,0e3,"MCF Rush 227","D","MCF Rush City 227","Corrections","Minnesota Department of Corrections"
228,0e4,"DOT OEC5 ADM","D","OEC 5 Admin","Public Works","Minnesota DOT District 5 Metro"
229,0e5,"MCF Rush 229","D","MCF Rush City 229","Corrections","Minnesota Department of Corrections"
230,0e6,"DOT SURV ALL","D","DOT Survey All","Public Works","Minnesota DOT District 5 Metro"
231,0e7,"MCF Rush 231","D","MCF Rush City 231","Corrections","Minnesota Department of Corrections"
232,0e8,"DOT MT TAC 1","D","METRO MAINTENANCE TAC 1","Public Works","Minnesota DOT District 5 Metro"
234,0ea,"DOT MT TAC 2","D","METRO MAINTENANCE TAC 2","Public Works","Minnesota DOT District 5 Metro"
236,0ec,"DOT SIGN EAST","D","DOT SIGN SHOP EAST","Public Works","Minnesota DOT District 5 Metro"
238,0ee,"DOT SIGN WEST","D","DOT SIGN SHOP WEST","Public Works","Minnesota DOT District 5 Metro"
240,0f0,"DOT SURVY 5","D","DOT Survey 5","Public Works","Minnesota DOT District 5 Metro"
242,0f2,"DOT SURVY 6","D","DOT Survey 6","Public Works","Minnesota DOT District 5 Metro"
244,0f4,"DOT SURVY 7","D","DOT Survey 7","Public Works","Minnesota DOT District 5 Metro"
246,0f6,"DOT SURVY 8","D","DOT Survey 8","Public Works","Minnesota DOT District 5 Metro"
248,0f8,"DOT SURVY 9","D","DOT Survey 9","Public Works","Minnesota DOT District 5 Metro"
250,0fa,"DOT SURVY 10","D","DOT Survey 10","Public Works","Minnesota DOT District 5 Metro"
252,0fc,"DOT SURVY 11","D","DOT Survey 11","Public Works","Minnesota DOT District 5 Metro"
254,0fe,"DOT SURVY 12","D","DOT Survey 12","Public Works","Minnesota DOT District 5 Metro"
256,100,"DOT SURVY 13","D","DOT Survey 13","Public Works","Minnesota DOT District 5 Metro"
257,101,"A TAC 2E","DE","All Tactical 2 Encrypted ","Multi-Tac","Statewide Interoperability "
258,102,"A TAC 3E","DE","All Tactical 3 Encrypted ","Multi-Tac","Statewide Interoperability "
259,103,"A TAC 4E","DE","All Tactical 4 Encrypted ","Multi-Tac","Statewide Interoperability "
260,104,"A TAC 5E","DE","All Tactical 5 Encrypted ","Multi-Tac","Statewide Interoperability "
261,105,"A TAC 6E","DE","All Tactical 6 Encrypted ","Multi-Tac","Statewide Interoperability "
262,106,"A TAC 7E","DE","All Tactical 7 Encrypted ","Multi-Tac","Statewide Interoperability "
263,107,"A TAC 8E","DE","All Tactical 8 Encrypted","Multi-Tac","Statewide Interoperability "
278,116,"DOT ANNOUNCE","D","DOT Announce- Weather","Public Works","Minnesota DOT District 5 Metro"
280,118,"DOT METRO EM","D","Metro Emergency to MSP","Public Works","Minnesota DOT District 5 Metro"
282,11a,"MnDOT TAC 1","D","MnDOT Common Tac 1","Public Works","Minnesota DOT Statewide"
284,11c,"DOT MAINT NE","D","MNDOT Northeast Maintenance Dispatch","Public Works","Minnesota DOT District 5 Metro"
286,11e,"DOT MAINT NW","D","MNDOT Northwest Maintenance Dispatch","Public Works","Minnesota DOT District 5 Metro"
288,120,"DOT MAINT C","D","MNDOT Central Maintenance Dispatch","Public Works","Minnesota DOT District 5 Metro"
290,122,"DOT MAINT S","D","MNDOT South Maintenace Dispatch","Public Works","Minnesota DOT District 5 Metro"
292,124,"DOT NB 12","D","MNDOT North Branch 12","Public Works","Minnesota DOT District 5 Metro"
294,126,"DOT FL 14","D","MNDOT Forest Lake 14","Public Works","Minnesota DOT District 5 Metro"
296,128,"DOT SLP 15","D","MNDOT Spring Lake Park 15","Public Works","Minnesota DOT District 5 Metro"
298,12a,"DOT OKD 11","D","MNDOT Oakdale 11","Public Works","Minnesota DOT District 5 Metro"
300,12c,"DOT ANK 41","D","MNDOT Anoka 11","Public Works","Minnesota DOT District 5 Metro"
302,12e,"DOT MG 42","D","MNDOT Maple Grove 42","Public Works","Minnesota DOT District 5 Metro"
304,130,"DOT PLY 44","D","MNDOT Plymouth 44","Public Works","Minnesota DOT District 5 Metro"
306,132,"DOT GV 45","D","MNDOT Golden Valley 45","Public Works","Minnesota DOT District 5 Metro"
308,134,"DOT EP 43","D","MNDOT Eden Parire 43","Public Works","Minnesota DOT District 5 Metro"
310,136,"DOT CAM 22","D","MNDOT Camden Yard Mpls 22","Public Works","Minnesota DOT District 5 Metro"
312,138,"DOT RCHF 23","D","MNDOT Richfield, Cedar 23","Public Works","Minnesota DOT District 5 Metro"
314,13a,"DOT MYD 25","D","MNDOT Maryland, St Paul 25","Public Works","Minnesota DOT District 5 Metro"
316,13c,"DOT ARD 26","D","MNDOT Arden Hills 26","Public Works","Minnesota DOT District 5 Metro"
318,13e,"DOT HST 33","D","MNDOT Hastings 33","Public Works","Minnesota DOT District 5 Metro"
320,140,"DOT MDT 32","D","MNDOT Mendota 32","Public Works","Minnesota DOT District 5 Metro"
322,142,"DOT LKV 34","D","MNDOT Lakeville 34","Public Works","Minnesota DOT District 5 Metro"
324,144,"DOT SHK 31","D","MNDOT Shakopee 31","Public Works","Minnesota DOT District 5 Metro"
326,146,"DOT JDN 35","D","MNDOT Jordan 35","Public Works","Minnesota DOT District 5 Metro"
328,148,"DOT TRAIN","D","DOT TRAINING","Public Works","Minnesota DOT District 5 Metro"
330,14a,"DOT MAT ADM","D","MNDOT Materials/Admin","Public Works","Minnesota DOT District 5 Metro"
332,14c,"TMC ADMIN","D","TMC HIGHWAY HELPER (FIRST) ADMIN","Public Works","Minnesota DOT District 5 Metro"
334,14e,"TMC HAIL","D","TMC HAIL","Public Works","Minnesota DOT District 5 Metro"
336,150,"DOT METRO 336","D","MNDOT Metro 336","Public Works","Minnesota DOT District 5 Metro"
338,152,"DOT TMC HLPR","D","TMC Highway Helper (FIRST)","Public Works","Minnesota DOT District 5 Metro"
340,154,"DOT ESS LOCT","D","ESS Cable Locates ","Public Works","Minnesota DOT District 5 Metro"
342,156,"DOT ESS SIG","D","ESS Signals ","Public Works","Minnesota DOT District 5 Metro"
344,158,"DOT CONST OK","D","Construction Office Oakdale","Public Works","Minnesota DOT District 5 Metro"
346,15a,"DOT CONST MD","D","Construction Office Mendota ","Public Works","Minnesota DOT District 5 Metro"
348,15c,"DOT CONST EP","D","Construction Office Eden Prairie ","Public Works","Minnesota DOT District 5 Metro"
350,15e,"DOT CONST GV","D","Construction Office Golden Valley ","Public Works","Minnesota DOT District 5 Metro"
352,160,"DOT SIGNS","D","MNDOT Sign Shop","Public Works","Minnesota DOT District 5 Metro"
354,162,"DOT STRIPING","D","Traffic Striping ","Public Works","Minnesota DOT District 5 Metro"
356,164,"DOT TRFC ENG","D","Traffic Engineering ","Public Works","Minnesota DOT District 5 Metro"
358,166,"DOT BLD MNT","D","Building Maintenance ","Public Works","Minnesota DOT District 5 Metro"
360,168,"DOT HAZMAT","D","DOT Hazmat","Public Works","Minnesota DOT District 5 Metro"
362,16a,"SRB DEMO 1","D","Radio Board Demo 1","Public Works","Minnesota Department of Public Safety - Emergency Communications"
370,172,"PCA MAIN","D","Pollution Control Agency Main","Emergency Ops","Minnesota Misc. State Agencies"
372,174,"PCA CONTRACT","D","PCA Tactical 1 Contractors","Emergency Ops","Minnesota Misc. State Agencies"
374,176,"PCA STAFF T1","D","PCA Tactical 1 Staff","Emergency Ops","Minnesota Misc. State Agencies"
382,17e,"LAW","DE","Law","Law Tac","Minnesota Misc. State Agencies"
384,180,"DOT NIGHT","D","DOT Night Crews","Public Works","Minnesota DOT District 5 Metro"
385,181,"MSP CALL","D","State Patrol Hailing","Interop","Statewide Interoperability "
388,184,"MnDOT TAC 2","D","MnDOT Common Tac 2","Public Works","Minnesota DOT Statewide"
390,186,"DOT METRO 390","D","MNDOT Metro 390","Public Works","Minnesota DOT District 5 Metro"
396,18c,"DOT NIGHT 1","D","Night Crews 1","Public Works","Minnesota DOT District 5 Metro"
400,190,"ME TAC 9","D","Metro Tactical  9","Interop","Zone 1 Interoperability Metro"
402,192,"ME TAC 10","D","Metro Tactical 10","Interop","Zone 1 Interoperability Metro"
404,194,"ME TAC 11E","DE","Metro Tactical 11E","Interop","Zone 1 Interoperability Metro"
408,198,"DOT METRO 408","D","MNDOT Metro 408","Public Works","Minnesota DOT District 5 Metro"
410,19a,"DOT GV MECH","D","DOT GOLDEN VALLEY MECHANICS","Public Works","Minnesota DOT District 5 Metro"
412,19c,"DOT OAK MECHANIC","D","DOT OAKDALE MECHANICS","Public Works","Minnesota DOT District 5 Metro"
418,1a2,"DRO TAC 1 RC","D","Disaster Relief Organization Tactical 1 Red Cross","Emergency Ops","Minnesota Misc. State Agencies"
420,1a4,"DRO TAC 2 SA","D","Disaster Relief Organization  Tactical 2 Salvation Army","Emergency Ops","Minnesota Misc. State Agencies"
422,1a6,"DRO TAC 3","D","Disaster Relief Organization  Tactical 3","Emergency Ops","Minnesota Misc. State Agencies"
424,1a8,"DRO TAC 4","D","Disaster Relief Organization  Tactical 4","Emergency Ops","Minnesota Misc. State Agencies"
426,1aa,"MNNG-55WMD","D","MNNG-55WMD","Military","Minnesota National Guard - Military"
428,1ac,"MNNG-JOC","D","MNNG-JOC","Military","Minnesota National Guard - Military"
430,1ae,"N GUARD","D","National Guard ","Military","Minnesota National Guard - Military"
431,1af,"DNR FOR NW 1","D","DNR Forestry NW 1","Fire-Tac","Minnesota Department of Natural Resources - DNR"
432,1b0,"DNR FOR CAM","D","DNR Forestry Cambridge","Fire-Tac","Minnesota Department of Natural Resources - DNR"
433,1b1,"DNR FOR NW 2","D","DNR Forestry NW 2","Fire-Tac","Minnesota Department of Natural Resources - DNR"
434,1b2,"DNR FOR NW 3","D","DNR Forestry NW 3","Fire-Tac","Minnesota Department of Natural Resources - DNR"
435,1b3,"DNR FOR NE 1","D","DNR Forestry NE 1","Fire-Tac","Minnesota Department of Natural Resources - DNR"
436,1b4,"DNR FOR NE 3","D","DNR Forestry NE 3","Fire-Tac","Minnesota Department of Natural Resources - DNR"
437,1b5,"DNR FOR NE 2","D","DNR Forestry NE 2","Fire-Tac","Minnesota Department of Natural Resources - DNR"
438,1b6,"DNR FOR SC 3","D","DNR Forestry SC 3","Fire-Tac","Minnesota Department of Natural Resources - DNR"
439,1b7,"DNR FOR SC 1","D","DNR Forestry SC 1","Fire-Tac","Minnesota Department of Natural Resources - DNR"
440,1b8,"DNR FIRE DISP","D","Forest Fire Main Dispatch","Fire Dispatch","Minnesota Department of Natural Resources - DNR"
441,1b9,"DNR FOR SC 3","D","DNR Forestry SC 2","Fire-Tac","Minnesota Department of Natural Resources - DNR"
442,1ba,"DNR FIRE SP2","D","DNR Fire Suppression 2","Fire-Tac","Minnesota Department of Natural Resources - DNR"
443,1bb,"DNR FD INVEST","D","DNR Forestry Fire Investigations  ","Fire-Tac","Minnesota Department of Natural Resources - DNR"
446,1be,"TMC METRO TRFC ","D","TMC Metro Traffic","Public Works","Minnesota DOT District 5 Metro"
448,1c0,"DOT EVENTS","D","Event Staging","Public Works","Minnesota DOT District 5 Metro"
450,1c2,"HS EM DUTY O","D","Homeland Security Emergency Management Duty Officer","Emergency Ops","Minnesota Department of Public Safety - Bur. Crim. Appr. - BCA"
454,1c6,"MNNG-133-SEC","DE","MNNG-133-SEC","Military","Minnesota National Guard - Military"
455,1c7,"DHS EME MAIN","D","DHS Emergency Management Main","Emergency Ops","Department of Human Services"
456,1c8,"DOH TAC 1","D","Department of Health Tactical 1","Emergency Ops","Minnesota Misc. State Agencies"
457,1c9,"DOH TAC 2","D","Department of Health Tactical 2","Emergency Ops","Minnesota Misc. State Agencies"
459,1cb,"DHS EME 1","D","DHS Emergency Management 1","Emergency Ops","Department of Human Services"
460,1cc,"DHS EME 2","D","DHS Emergency Management 2","Emergency Ops","Department of Human Services"
461,1cd,"DHS EME 3","D","DHS Emergency Management 3","Emergency Ops","Department of Human Services"
462,1ce,"DHS ROAM","D","DHS Roaming","Public Works","Department of Human Services"
463,1cf,"DHS CO","D","DHS Central Office","Public Works","Department of Human Services"
464,1d0,"US FBI 1","DE","Federal Bureau of Investigations 1","Federal","Federal Agencies"
465,1d1,"US FBI 3","DE","Federal Bureau of Investigations 3","Federal","Federal Agencies"
466,1d2,"US FBI 2","DE","Federal Bureau of Investigations 2","Federal","Federal Agencies"
468,1d4,"US FWS","DE","US Fish and Wildlife Service Enforcement","Federal","Federal Agencies"
478,1de,"DNR TRACK 1","D","DNR Wildlife Tracking 1","Public Works","Minnesota Department of Natural Resources - DNR"
480,1e0,"DNR TRACK 2","D","DNR Wildlife Tracking 2","Public Works","Minnesota Department of Natural Resources - DNR"
500,1f4,"STAC 5","D","Statewide Tactical 5","Interop","Statewide Interoperability "
502,1f6,"STAC 6","D","Statewide Tactical 6","Interop","Statewide Interoperability "
504,1f8,"LTAC 1","D","Law Enforcement Tactical 1","Law Tac","Statewide Interoperability "
505,1f9,"LTAC9E","DE","Law Enforcement Tactical 9E","Law Tac","Statewide Interoperability "
506,1fa,"LTAC 2","D","Law Enforcement Tactical 2","Law Tac","Statewide Interoperability "
507,1fb,"LTAC10E","DE","Law Enforcement Tactical 10E","Law Tac","Statewide Interoperability "
520,208,"DOC SORT 1","D","Special Operations Response Team Tactical 1","Corrections","Minnesota Department of Corrections"
522,20a,"DOC SORT 2","D","Special Operations Response Team Tactical 2","Corrections","Minnesota Department of Corrections"
524,20c,"DOC SORT 3","D","Special Operations Response Team Tactical 3","Corrections","Minnesota Department of Corrections"
526,20e,"DOC SORT 4","D","Special Operations Response Team Tactical 4","Corrections","Minnesota Department of Corrections"
528,210,"SRB DEMO","D","Radio Board Demo TG","Public Works","Minnesota Department of Public Safety - Emergency Communications"
600,258,"MET HEALTH 1","D","Metro Local Public Health Association 1","Public Works","Ramsey County"
602,25a,"MET HEALTH 2","D","Metro Local Public Health Association 2","Public Works","Ramsey County"
604,25c,"METRO PHA 3","D","Metro Local Public Health Association 3","Business","Minnesota Misc. State Agencies"
606,25e,"METRO PHA 4","D","Metro Local Public Health Association 4","Business","Minnesota Misc. State Agencies"
610,262,"MNNG-TAC1","D","MNNG-TAC1","Military","Minnesota National Guard - Military"
612,264,"MNNG-QRF1","D","MNNG-QRF1","Military","Minnesota National Guard - Military"
614,266,"MNNG-QRF2","D","MNNG-QRF2","Military","Minnesota National Guard - Military"
616,268,"MNNG-JCP","D","MNNG-JCP","Military","Minnesota National Guard - Military"
618,26a,"MNNG-133-DZ","D","MNNG-133-DZ","Military","Minnesota National Guard - Military"
620,26c,"MNNG-133-CE","D","MNNG-133-CE","Military","Minnesota National Guard - Military"
622,26e,"MNNG-148-FD","D","MNNG-148-FD","Military","Minnesota National Guard - Military"
624,270,"MNNG-148-SF","D","MNNG-148-SF","Military","Minnesota National Guard - Military"
626,272,"MNNG-EOD","D","MNNG-EOD","Military","Minnesota National Guard - Military"
628,274,"MNNG-Aviation","D","MNNG-Aviation","Military","Minnesota National Guard - Military"
630,276,"MNNG-AV-TAC1","DE","MNNG-AV-TAC1","Military","Minnesota National Guard - Military"
632,278,"MNNG-AV TAC2","D","MNNG-AV TAC2","Military","Minnesota National Guard - Military"
